,품목명,품목코드,품종명,품종코드,"상태(상품, 중품)",상태코드,단위,일자(조회일자),조회일자 가격,1일전 일자(조회일자 기준),1일전 가격,1주일전 일자(조회일자 기준),1주일전 가격,2주일전 일자(조회일자 기준),2주일전 가격,1개월전 일자(조회일자 기준),1개월전 가격,1년전 일자(조회일자 기준),1년전 가격,평년일자,평년 가격
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/19),10050.0,1일전 (04/18),10710.0,1주일전 (04/12),11600.0,2주일전 (04/05),13580.0,1개월전,12625.0,1년전,10240.0,일평년,11064.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/20),14440.0,1일전 (04/19),14560.0,1주일전 (04/13),15720.0,2주일전 (04/06),18320.0,1개월전,17225.0,1년전,13660.0,일평년,14894.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/20),9930.0,1일전 (04/19),10050.0,1주일전 (04/13),10920.0,2주일전 (04/06),13520.0,1개월전,12625.0,1년전,10260.0,일평년,11064.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/21),14360.0,1일전 (04/20),14440.0,1주일전 (04/14),15200.0,2주일전 (04/07),17320.0,1개월전,17568.0,1년전,13792.0,일평년,14936.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/21),9850.0,1일전 (04/20),9930.0,1주일전 (04/14),10400.0,2주일전 (04/07),12520.0,1개월전,12968.0,1년전,10384.0,일평년,11103.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/22),14360.0,1일전 (04/21),14360.0,1주일전 (04/15),14360.0,2주일전 (04/08),17320.0,1개월전,17944.0,1년전,13824.0,일평년,14850.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/22),9850.0,1일전 (04/21),9850.0,1주일전 (04/15),9770.0,2주일전 (04/08),12520.0,1개월전,13344.0,1년전,10408.0,일평년,11075.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/23),,1일전 (04/22),14360.0,1주일전 (04/16),,2주일전 (04/09),,1개월전,17944.0,1년전,13824.0,일평년,14850.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/23),,1일전 (04/22),9850.0,1주일전 (04/16),,2주일전 (04/09),,1개월전,13344.0,1년전,10408.0,일평년,11075.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/25),13640.0,1일전 (04/24),,1주일전 (04/18),15300.0,2주일전 (04/11),17320.0,1개월전,19288.0,1년전,13770.0,일평년,14764.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/25),9130.0,1일전 (04/24),,1주일전 (04/18),10710.0,2주일전 (04/11),12520.0,1개월전,14608.0,1년전,10340.0,일평년,11114.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/26),13540.0,1일전 (04/25),13640.0,1주일전 (04/19),14560.0,2주일전 (04/12),16600.0,1개월전,19375.0,1년전,13528.0,일평년,14682.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/26),8996.0,1일전 (04/25),9130.0,1주일전 (04/19),10050.0,2주일전 (04/12),11600.0,1개월전,14675.0,1년전,10018.0,일평년,11077.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/27),13540.0,1일전 (04/26),13540.0,1주일전 (04/20),14440.0,2주일전 (04/13),15720.0,1개월전,19375.0,1년전,13380.0,일평년,14661.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/27),8996.0,1일전 (04/26),8996.0,1주일전 (04/20),9930.0,2주일전 (04/13),10920.0,1개월전,14675.0,1년전,9782.0,일평년,11087.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/28),13800.0,1일전 (04/27),13540.0,1주일전 (04/21),14360.0,2주일전 (04/14),15200.0,1개월전,18996.0,1년전,13344.0,일평년,14604.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/28),9262.0,1일전 (04/27),8996.0,1주일전 (04/21),9850.0,2주일전 (04/14),10400.0,1개월전,14276.0,1년전,9586.0,일평년,11012.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/29),14200.0,1일전 (04/28),13800.0,1주일전 (04/22),14360.0,2주일전 (04/15),14360.0,1개월전,18704.0,1년전,13288.0,일평년,14666.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/29),9662.0,1일전 (04/28),9262.0,1주일전 (04/22),9850.0,2주일전 (04/15),9770.0,1개월전,13944.0,1년전,9370.0,일평년,11026.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/30),,1일전 (04/29),14200.0,1주일전 (04/23),,2주일전 (04/16),,1개월전,18704.0,1년전,13288.0,일평년,14666.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/30),,1일전 (04/29),9662.0,1주일전 (04/23),,2주일전 (04/16),,1개월전,13944.0,1년전,9370.0,일평년,11026.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (05/02),13800.0,1일전 (05/01),,1주일전 (04/25),13640.0,2주일전 (04/18),15300.0,1개월전,18240.0,1년전,13500.0,일평년,14875.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (05/02),9462.0,1일전 (05/01),,1주일전 (04/25),9130.0,2주일전 (04/18),10710.0,1개월전,13310.0,1년전,9360.0,일평년,11108.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (05/03),13780.0,1일전 (05/02),13800.0,1주일전 (04/26),13540.0,2주일전 (04/19),14560.0,1개월전,18240.0,1년전,13696.0,일평년,14991.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (05/03),9636.0,1일전 (05/02),9462.0,1주일전 (04/26),8996.0,2주일전 (04/19),10050.0,1개월전,13310.0,1년전,9536.0,일평년,11163.0
